material_id,formula_pretty,formula_anonymous,band_gap,energy_above_hull,density,volume,nsites,nelements,elements,crystal_system,spacegroup_symbol,spacegroup_number,status,error
mp-1001112,Na2H3CO6,AB2C3D6,3.8185,0.2614723121180571,2.0804817615839246,1002.5447201014831,96,4,"C,H,Na,O",Orthorhombic,Pbca,61,ok,
mp-1002069,NaLiICl,ABCD,4.1874,0.1903131068749997,3.0686168694521196,104.05408931851647,4,4,"Cl,I,Li,Na",Tetragonal,P4/mmm,123,ok,
mp-1002081,KNaICl,ABCD,4.0097000000000005,0.16933162999999984,2.686613501690639,138.72504794036223,4,4,"Cl,I,K,Na",Tetragonal,P4/mmm,123,ok,
mp-1007637,KNaH2,ABC2,2.5015,0.055387610000000365,1.3933364084585858,76.39728037342103,4,3,"H,K,Na",Tetragonal,P4/mmm,123,ok,
mp-1009220,NaH,AB,1.0315999999999999,0.15742719500000035,1.544158081623943,25.806382324610148,2,2,"H,Na",Cubic,Pm-3m,221,ok,
mp-1011834,Na2CoP2O7,AB2C2D7,3.0065,0.029714687361117598,3.0937674907447605,598.6893062502432,48,4,"Co,Na,O,P",Triclinic,P1,1,ok,
mp-1011858,Na2CoP2O7,AB2C2D7,2.6830999999999996,0.040534906944451166,2.826610368562233,655.2744351799956,48,4,"Co,Na,O,P",Orthorhombic,Pnma,62,ok,
mp-1011860,Na2CoP2O7,AB2C2D7,3.0133,0.006010801319450643,2.887060627880758,641.5540757428239,48,4,"Co,Na,O,P",Monoclinic,P2_1/c,14,ok,
mp-1012678,NaMo3P3O13,AB3C3D13,1.4710999999999999,0.004734013291665562,3.69880383055783,549.253440459516,40,4,"Mo,Na,O,P",Monoclinic,P2_1/m,11,ok,
mp-1012791,NaV3P3O13,AB3C3D13,1.4356,0.007806566749977151,3.146638661228213,503.1560011227862,40,4,"Na,O,P,V",Monoclinic,P2_1/m,11,ok,
mp-1013565,Na2CoP2O7,AB2C2D7,2.369205191091921,0.027097078611117098,2.8424200367610597,651.6297692736948,48,4,"Co,Na,O,P",Monoclinic,C2/c,15,ok,
mp-1013577,Na2CoP2O7,AB2C2D7,3.2870000000000004,0.02503547798611816,3.1722777886599385,583.8724210580441,48,4,"Co,Na,O,P",Triclinic,P-1,2,ok,
mp-1013599,Na2CoP2O7,AB2C2D7,2.672,0.05646351756945123,2.5064847581199077,738.9654003413369,48,4,"Co,Na,O,P",Orthorhombic,Imma,74,ok,
