material_id,formula_pretty,summary,thermo,elasticity,dielectric,piezoelectric,magnetism,oxidation_states,chemenv,provenance,bonds,absorption,surface_properties,grain_boundaries,robocrys
mp-1001112,Na2H3CO6,ok,ok,empty,empty,empty,ok,ok,ok,ok,ok,empty,empty,empty,ok
mp-1002069,NaLiICl,ok,ok,ok,empty,empty,ok,ok,ok,ok,ok,empty,empty,empty,ok
mp-1002081,KNaICl,ok,ok,ok,empty,empty,ok,ok,ok,ok,ok,empty,empty,empty,ok
mp-1007637,KNaH2,ok,ok,ok,empty,empty,ok,ok,ok,ok,ok,empty,empty,empty,ok
mp-1009220,NaH,ok,ok,ok,empty,empty,ok,ok,ok,ok,ok,empty,empty,empty,ok
mp-1011834,Na2CoP2O7,ok,ok,empty,empty,empty,ok,ok,ok,ok,ok,empty,empty,empty,ok
mp-1011858,Na2CoP2O7,ok,ok,empty,empty,empty,ok,ok,ok,ok,ok,empty,empty,empty,ok
mp-1011860,Na2CoP2O7,ok,ok,empty,empty,empty,ok,ok,ok,ok,ok,empty,empty,empty,ok
mp-1012678,NaMo3P3O13,ok,ok,empty,empty,empty,ok,ok,ok,ok,ok,empty,empty,empty,ok
mp-1012791,NaV3P3O13,ok,ok,empty,empty,empty,ok,ok,ok,ok,ok,empty,empty,empty,ok
mp-1013565,Na2CoP2O7,ok,ok,empty,empty,empty,ok,ok,ok,ok,ok,empty,empty,empty,ok
mp-1013577,Na2CoP2O7,ok,ok,empty,empty,empty,ok,ok,ok,ok,ok,empty,empty,empty,ok
mp-1013599,Na2CoP2O7,ok,ok,empty,empty,empty,ok,ok,ok,ok,ok,empty,empty,empty,ok
mp-1013843,NaMo2P2O9,ok,ok,empty,empty,empty,ok,ok,ok,ok,ok,empty,empty,empty,ok
mp-1013911,Na2CoP2O7,ok,ok,empty,ok,ok,ok,ok,ok,ok,ok,empty,empty,empty,ok
mp-1016119,NaMnO2,ok,ok,empty,empty,empty,ok,ok,ok,ok,ok,empty,empty,empty,ok
mp-1016152,NaMnO2,ok,ok,empty,empty,empty,ok,ok,ok,ok,ok,empty,empty,empty,ok
mp-10163,NaAlTe2,ok,ok,ok,ok,empty,ok,ok,ok,ok,ok,empty,empty,empty,ok
mp-10166,NaAlSe2,ok,ok,ok,ok,empty,ok,ok,ok,ok,ok,empty,empty,empty,ok
mp-10167,Na3SbS4,ok,ok,ok,empty,empty,ok,ok,ok,ok,ok,empty,empty,empty,ok
mp-1019523,Ba3NaY3(Si3O10)2,ok,ok,empty,empty,empty,ok,ok,ok,ok,ok,empty,empty,empty,ok
mp-1019551,BaNa2Mg(PO4)2,ok,ok,ok,empty,empty,ok,ok,ok,ok,ok,empty,empty,empty,ok
mp-1019554,BaNaB5O9,ok,ok,empty,empty,empty,ok,ok,ok,ok,ok,empty,empty,empty,ok
mp-1019555,BaNaLi3(BO2)6,ok,ok,empty,empty,empty,ok,ok,ok,ok,ok,empty,empty,empty,ok
mp-1019611,Cs2Na2Sr(B3O5)6,ok,ok,empty,empty,empty,ok,ok,ok,ok,ok,empty,empty,empty,ok
mp-1019781,K2Na3P3O10,ok,ok,empty,empty,empty,ok,ok,ok,ok,ok,empty,empty,empty,ok
mp-1019787,K2NaZn(BO2)5,ok,ok,empty,empty,empty,ok,ok,ok,ok,ok,empty,empty,empty,ok
mp-1019888,KNa2BN2,ok,ok,empty,ok,empty,ok,ok,ok,ok,ok,empty,empty,empty,ok
mp-1020141,Na2Al2Si3O10,ok,ok,empty,ok,ok,ok,ok,ok,ok,ok,empty,empty,empty,ok
mp-1020142,Na2B4O7,ok,ok,empty,empty,empty,ok,ok,ok,ok,ok,empty,empty,empty,ok
mp-1020144,Na2Be4B4O11,ok,ok,empty,empty,empty,ok,ok,ok,ok,ok,empty,empty,empty,ok
mp-1020145,Na2Ge(S2O7)3,ok,ok,empty,empty,empty,ok,ok,ok,ok,ok,empty,empty,empty,ok
mp-1020146,Na2LiB5(PO7)2,ok,ok,empty,empty,empty,ok,ok,ok,ok,ok,empty,empty,empty,ok
mp-1020147,Na2Mg2P3NO9,ok,ok,empty,empty,empty,ok,ok,ok,ok,ok,empty,empty,empty,ok
mp-1020159,Na2Si(S2O7)3,ok,ok,empty,empty,empty,ok,ok,ok,ok,ok,empty,empty,empty,ok
mp-1020160,Na3Zn(BO2)5,ok,ok,empty,empty,empty,ok,ok,ok,ok,ok,empty,empty,empty,ok
mp-1020161,Na3Al2(PO4)3,ok,ok,empty,empty,empty,ok,ok,ok,ok,ok,empty,empty,empty,ok
mp-1020162,Na4Mg3P4O15,ok,ok,empty,empty,empty,ok,ok,ok,ok,ok,empty,empty,empty,ok
mp-1020163,Na3Li2Al(SiO4)2,ok,ok,empty,empty,empty,ok,ok,ok,ok,ok,empty,empty,empty,ok
mp-1020164,Na3LiP2O7,ok,ok,empty,empty,empty,ok,ok,ok,ok,ok,empty,empty,empty,ok
mp-1020179,Na6Si2O7,ok,ok,empty,empty,empty,ok,ok,ok,ok,ok,empty,empty,empty,ok
mp-1020180,Na2SrMg(PO4)2,ok,ok,empty,empty,empty,ok,ok,ok,ok,ok,empty,empty,empty,ok
mp-1020181,Na2ZnB6O11,ok,ok,empty,ok,empty,ok,ok,ok,ok,ok,empty,empty,empty,ok
mp-1020596,NaGa(GeO3)2,ok,ok,empty,empty,empty,ok,ok,ok,ok,ok,empty,empty,empty,ok
mp-1020599,Na5B(SO4)4,ok,ok,empty,empty,empty,ok,ok,ok,ok,ok,empty,empty,empty,ok
mp-1020624,NaBe(BO2)3,ok,ok,empty,empty,empty,ok,ok,ok,ok,ok,empty,empty,empty,ok
mp-1020630,Rb2Na(NO3)3,ok,ok,empty,ok,ok,ok,ok,ok,ok,ok,empty,empty,empty,ok
mp-1020646,NaLi2B(PO4)2,ok,ok,empty,empty,empty,ok,ok,ok,ok,ok,empty,empty,empty,ok
mp-1020648,NaLaSiO4,ok,ok,empty,empty,empty,ok,ok,ok,ok,ok,empty,empty,empty,ok
mp-1020655,NaB(S2O7)2,ok,ok,empty,empty,empty,ok,ok,ok,ok,ok,empty,empty,empty,ok
mp-1020657,NaSr(PO3)3,ok,ok,empty,empty,empty,ok,ok,ok,ok,ok,empty,empty,empty,ok
mp-1020658,NaB(SO4)2,ok,ok,empty,ok,empty,ok,ok,ok,ok,ok,empty,empty,empty,ok
mp-1020661,NaAl(SiO3)2,ok,ok,empty,empty,empty,ok,ok,ok,ok,ok,empty,empty,empty,ok
mp-1020683,NaCa(PO3)3,ok,ok,empty,empty,empty,ok,ok,ok,ok,ok,empty,empty,empty,ok
mp-1020724,Na7Al4P9O32,ok,ok,empty,empty,empty,ok,ok,ok,ok,ok,empty,empty,empty,ok
mp-1021431,CsNaICl,ok,ok,ok,empty,empty,ok,ok,ok,ok,ok,empty,empty,empty,ok
mp-1021465,Na2ZnSe2,ok,ok,empty,empty,empty,ok,ok,ok,ok,ok,empty,empty,empty,ok
mp-1021514,NaGe2(PO4)3,ok,ok,empty,empty,empty,ok,ok,ok,ok,ok,empty,empty,empty,ok
mp-10226,NaYS2,ok,ok,empty,ok,empty,ok,ok,ok,ok,ok,ok,empty,empty,ok
mp-1024047,Na6ZnSe4,ok,ok,empty,ok,ok,ok,ok,ok,ok,ok,empty,empty,empty,ok
mp-1024048,Na4Zn3Se5,ok,ok,empty,empty,empty,ok,ok,ok,ok,ok,empty,empty,empty,ok
mp-1024049,Na2Zn2Se3,ok,ok,empty,empty,empty,ok,ok,ok,ok,ok,empty,empty,empty,ok
mp-1024050,Na2Zn3Se4,ok,ok,empty,empty,empty,ok,ok,ok,ok,ok,empty,empty,empty,ok
mp-1024051,Na2Zn2Se3,ok,ok,empty,empty,empty,ok,ok,ok,ok,ok,empty,empty,empty,ok
mp-1024052,Na2ZnSe2,ok,ok,empty,ok,empty,ok,ok,ok,ok,ok,empty,empty,empty,ok
mp-1024067,Na2ZnS2,ok,ok,ok,ok,empty,ok,ok,ok,ok,ok,empty,empty,empty,ok
mp-1024069,Na2Zn3S4,ok,ok,empty,empty,empty,ok,ok,ok,ok,ok,empty,empty,empty,ok
mp-1024070,Na4Zn3S5,ok,ok,empty,empty,empty,ok,ok,ok,ok,ok,empty,empty,empty,ok
mp-1024072,Na2Zn3S4,ok,ok,empty,empty,empty,ok,ok,ok,ok,ok,empty,empty,empty,ok
mp-1024076,Na2ZnS2,ok,ok,empty,empty,empty,ok,ok,ok,ok,ok,empty,empty,empty,ok
mp-10246,Na2PtS2,ok,ok,empty,ok,ok,ok,ok,ok,ok,ok,empty,empty,empty,ok
mp-1029542,Na6MoN4,ok,ok,ok,ok,empty,ok,ok,ok,ok,ok,empty,empty,empty,ok
mp-1029565,Na3W2N5,ok,ok,empty,ok,ok,ok,ok,ok,ok,ok,empty,empty,empty,ok
mp-1029656,Na6WN4,ok,ok,ok,ok,empty,ok,ok,ok,ok,ok,empty,empty,empty,ok
mp-1029845,Na3Mo2N5,ok,ok,empty,ok,ok,ok,ok,ok,ok,ok,empty,empty,empty,ok
mp-1029851,Na2GeN2,ok,ok,empty,ok,empty,ok,ok,ok,ok,ok,empty,empty,empty,ok
mp-1029862,Na15Mo7N19,ok,ok,empty,ok,empty,ok,ok,ok,ok,ok,empty,empty,empty,ok
mp-1030655,NaMg6GaO8,ok,ok,empty,empty,empty,ok,ok,ok,ok,ok,empty,empty,empty,ok
